#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
51.766,-0.83826,0.65198,-1.5592,9.2182,0.35411,-0.046335,0.88677,-4.675
52.195,-0.82877,0.6537,-1.554,9.2419,0.3512,-0.11765,0.82359,-4.6465
52.628,-0.81919,0.66581,-1.5487,9.2646,0.40061,-0.015204,0.91501,-4.5929
53.05,-0.80978,0.66034,-1.5434,9.3007,0.38304,-0.10987,0.71117,-4.5853
53.484,-0.80012,0.68159,-1.538,9.3317,0.3768,0.13681,0.95943,-4.7236
53.895,-0.79091,0.65949,-1.5327,9.3607,0.36118,-0.22674,0.90484,-4.7401
54.318,-0.78155,0.66688,-1.5274,9.3852,0.39751,-0.17508,0.87805,-4.7053
54.738,-0.77221,0.67254,-1.522,9.4195,0.34803,0.18797,0.82475,-4.7071
55.148,-0.76311,0.65822,-1.5167,9.4399,0.34823,0.036644,0.70958,-4.74
55.567,-0.75389,0.66538,-1.5114,9.4602,0.35426,0.0062706,0.78921,-4.6228
55.98,-0.74477,0.66509,-1.5061,9.482,0.39338,-0.20043,0.85509,-4.5925
56.394,-0.73563,0.67094,-1.5007,9.5144,0.39066,0.20322,0.72652,-4.6272
56.801,-0.72667,0.66201,-1.4954,9.5458,0.37176,-0.076876,1.0255,-4.7907
57.197,-0.71801,0.64033,-1.4902,9.5717,0.36528,0.21743,0.78363,-4.7184
57.596,-0.7095,0.62305,-1.4851,9.5957,0.39539,0.094723,1.0017,-4.7033
57.984,-0.70137,0.59052,-1.4803,9.6277,0.33378,0.24688,0.98066,-4.5707
58.367,-0.69366,0.54894,-1.4757,9.6425,0.38895,0.063357,0.93291,-4.7544
58.757,-0.6861,0.52456,-1.4714,9.6724,0.37236,0.21085,0.83183,-4.6162
59.147,-0.67877,0.4998,-1.4673,9.6975,0.40895,-0.15933,0.97987,-4.6641
59.539,-0.67158,0.48412,-1.4634,9.7324,0.36248,0.20911,0.94574,-4.6301
59.919,-0.66482,0.44635,-1.4597,9.7543,0.35576,-0.030927,0.98631,-4.6426
60.303,-0.65826,0.42011,-1.4562,9.7742,0.34094,0.0059425,0.83,-4.6579
60.694,-0.65176,0.40717,-1.4529,9.7898,0.35527,0.084087,0.78191,-4.661
61.083,-0.6454,0.39338,-1.4497,9.8093,0.38846,0.11337,0.93765,-4.7683
61.462,-0.63944,0.361,-1.4467,9.8377,0.33115,0.12258,0.77931,-4.6546
61.848,-0.63356,0.34383,-1.4439,9.8502,0.36247,0.22515,0.72917,-4.6485
62.232,-0.62786,0.32443,-1.4412,9.8711,0.31695,-0.13992,0.90615,-4.5552
62.617,-0.62231,0.31058,-1.4386,9.8794,0.38756,-0.055845,0.97969,-4.7273
62.995,-0.61706,0.28324,-1.4363,9.907,0.35144,0.092546,0.90729,-4.7707
63.371,-0.6121,0.2531,-1.4341,9.9245,0.34959,-0.050117,1.0228,-4.722
63.744,-0.60744,0.22011,-1.4322,9.9413,0.38805,-0.24779,1.0174,-4.6573
64.123,-0.6029,0.20059,-1.4305,9.9686,0.39989,-0.12014,0.98425,-4.667
64.499,-0.59861,0.17555,-1.429,9.9989,0.40903,0.12748,0.86648,-4.7479
64.874,-0.59458,0.14589,-1.4278,10.031,0.31715,-0.13057,0.7176,-4.6748
65.264,-0.59039,0.1488,-1.4266,10.038,0.37094,0.07222,1.0046,-4.5845
