#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
13.513,-1.0033,-2.3661,-1.2094,10.484,0.57033,0.53122,-0.56953,-5.1928
13.956,-1.0149,-2.2204,-1.2277,10.557,0.46067,2.9497,-0.45921,-4.8649
14.321,-1.0274,-2.2501,-1.2456,10.599,0.58382,4.6942,-0.35939,-3.5009
14.63,-1.0416,-2.4097,-1.2642,10.675,0.55617,-0.69999,-0.22679,-6.4013
15.111,-1.0527,-2.21,-1.2827,10.743,0.60042,3.3176,0.95362,-5.2719
15.403,-1.0671,-2.4073,-1.3012,10.822,0.38327,-3.8715,2.1606,-5.0579
15.865,-1.0787,-2.2422,-1.3198,10.841,0.42651,0.61096,0.47795,-3.9388
16.282,-1.0903,-2.2068,-1.3376,10.871,0.45074,-1.4808,1.8401,-3.8128
16.696,-1.1017,-2.1713,-1.3551,10.908,0.55543,-0.057028,1.5377,-5.1247
17.086,-1.1135,-2.1967,-1.3726,10.974,0.44242,1.2289,1.3898,-5.2851
17.448,-1.1263,-2.2922,-1.3905,11.008,0.486,2.5222,1.4563,-5.1426
17.772,-1.1409,-2.4807,-1.4096,11.053,0.41118,-1.8693,-0.44044,-3.7171
18.35,-1.1506,-2.1748,-1.4282,11.078,0.59884,-0.9173,1.6131,-6.1682
18.786,-1.1615,-2.1428,-1.4455,11.154,0.37572,4.692,0.82835,-5.8816
19.091,-1.1757,-2.4082,-1.4637,11.168,0.54043,0.076001,0.90053,-2.8824
19.549,-1.1881,-2.3724,-1.4828,11.228,0.41662,1.3565,-0.045236,-3.0119
20.024,-1.1999,-2.3233,-1.5016,11.252,0.56793,3.6936,2.2226,-3.6322
20.303,-1.2163,-2.6666,-1.5216,11.319,0.38364,4.0729,2.2857,-3.8853
20.576,-1.2357,-3.0384,-1.5444,11.334,0.37922,-2.7722,1.2775,-5.1626
21.134,-1.2508,-2.8356,-1.5679,11.347,0.46741,0.51984,2.1166,-3.9181
21.546,-1.2681,-2.9451,-1.591,11.385,0.48517,-4.3376,0.335,-6.499
22.219,-1.2797,-2.5324,-1.6129,11.428,0.58234,-3.4603,1.4265,-6.0473
22.808,-1.2901,-2.2946,-1.6322,11.496,0.44744,3.0443,1.2293,-6.6564
23.204,-1.3038,-2.4751,-1.6513,11.527,0.56483,-2.3403,1.7382,-3.0432
23.752,-1.315,-2.3497,-1.6706,11.591,0.45954,-3.8608,1.5295,-4.2357
24.365,-1.3236,-2.0966,-1.6884,11.624,0.57803,-3.8402,0.68911,-5.12
25.028,-1.329,-1.7557,-1.7038,11.69,0.45196,-2.2658,-0.25431,-4.2796
25.695,-1.3317,-1.4256,-1.7165,11.721,0.5901,-3.6444,1.4651,-4.857
26.311,-1.3331,-1.1815,-1.727,11.79,0.38679,3.69,0.41551,-5.0478
26.752,-1.3371,-1.3249,-1.737,11.802,0.42958,-0.72701,1.0306,-2.9663
27.305,-1.3395,-1.2368,-1.7472,11.826,0.48734,4.9468,2.3363,-3.895
27.605,-1.3476,-1.667,-1.7589,11.865,0.42401,-0.76425,-0.082499,-3.1575
28.23,-1.351,-1.4574,-1.7714,11.887,0.47972,3.075,0.028282,-6.6589
28.726,-1.3561,-1.5123,-1.7832,11.924,0.47733,4.472,1.0413,-2.8277
29.127,-1.3641,-1.7746,-1.7964,11.96,0.40009,3.9576,2.0058,-3.968
29.496,-1.375,-2.0984,-1.8119,11.974,0.45808,1.882,0.59897,-5.1499
30.017,-1.3848,-2.13,-1.8288,12.004,0.61331,1.9439,0.31854,-4.0544
30.556,-1.3943,-2.1377,-1.8459,12.077,0.50932,-3.0938,-0.12283,-5.6074
31.287,-1.3991,-1.7543,-1.8614,12.12,0.40723,0.1888,2.0693,-4.6229
31.792,-1.4066,-1.8249,-1.8757,12.136,0.46251,-1.0203,0.57384,-4.2301
32.425,-1.4115,-1.6575,-1.8897,12.166,0.48722,3.9499,1.5776,-5.7542
32.844,-1.4206,-1.9281,-1.904,12.203,0.37095,-3.62,1.4713,-6.2163
33.518,-1.4253,-1.6723,-1.9184,12.207,0.39562,0.83942,0.69071,-6.2215
34.095,-1.4306,-1.6376,-1.9317,12.218,0.49867,3.0093,-0.40474,-5.9613
34.667,-1.4359,-1.6355,-1.9448,12.258,0.45623,-4.0039,0.11761,-6.117
35.439,-1.436,-1.2126,-1.9561,12.285,0.58352,-1.9352,0.28847,-3.8735
36.135,-1.4348,-0.95399,-1.9648,12.347,0.51281,-0.66204,1.2755,-6.0635
36.735,-1.434,-0.88122,-1.9722,12.39,0.55623,-0.99698,0.31879,-5.8073
37.401,-1.4309,-0.68694,-1.9784,12.444,0.52465,-4.8833,0.70287,-6.2186
38.169,-1.4237,-0.27006,-1.9823,12.488,0.39021,1.2074,0.66168,-4.9241
38.743,-1.4183,-0.26632,-1.9844,12.496,0.56999,0.5992,0.24956,-5.8666
39.358,-1.4118,-0.17702,-1.9862,12.553,0.56141,3.9011,0.075995,-5.7352
39.877,-1.4071,-0.29437,-1.9881,12.607,0.5196,-4.8622,0.95375,-2.8229
40.63,-1.3974,0.083659,-1.9889,12.649,0.51146,2.323,0.89528,-5.6151
41.152,-1.3906,-0.015226,-1.9886,12.688,0.5608,1.8841,-0.28388,-4.0997
41.754,-1.3826,0.035175,-1.9885,12.741,0.56347,-1.3335,1.6099,-4.1559
42.353,-1.3743,0.10485,-1.988,12.794,0.59302,-4.1507,-0.6372,-4.8296
43.165,-1.36,0.5998,-1.9852,12.855,0.5639,4.0613,1.2665,-3.2196
43.603,-1.3514,0.3335,-1.9814,12.907,0.38307,4.8735,1.0065,-3.4741
44.031,-1.3452,0.040231,-1.9799,12.909,0.41165,-2.9371,-0.20917,-3.0909
44.777,-1.3332,0.40216,-1.9782,12.92,0.54685,-0.76624,-0.63224,-3.6668
45.473,-1.3197,0.6597,-1.9739,12.967,0.55465,1.6984,1.295,-3.3317
45.978,-1.309,0.54623,-1.9691,13.015,0.4636,1.3438,1.6902,-4.7386
46.472,-1.2994,0.41791,-1.9652,13.039,0.38818,-2.8511,-0.63597,-3.7294
47.228,-1.2843,0.81359,-1.9603,13.042,0.60252,-2.6589,1.627,-5.0891
47.847,-1.2694,0.95977,-1.9532,13.103,0.39186,-0.69302,1.6993,-3.6107
48.395,-1.2552,0.96015,-1.9455,13.106,0.37304,-3.3347,0.85055,-2.9937
49.072,-1.2377,1.2251,-1.9368,13.104,0.37507,3.8943,0.99065,-3.2551
49.504,-1.2245,0.98386,-1.9279,13.102,0.55408,-3.3857,1.8618,-3.5806
50.119,-1.2084,1.1448,-1.9194,13.15,0.54317,-2.417,0.67765,-5.9015
50.763,-1.1903,1.3663,-1.9094,13.194,0.45711,-3.7401,0.26626,-6.2425
51.467,-1.1689,1.718,-1.897,13.215,0.48109,-4.5843,0.96422,-3.7493
52.152,-1.1451,2.0452,-1.882,13.241,0.42363,2.405,1.5341,-4.4851
52.573,-1.1256,1.8377,-1.8665,13.252,0.55872,1.0163,0.94296,-4.5981
53.067,-1.1059,1.785,-1.852,13.3,0.4828,4.4546,0.73992,-3.8191
53.458,-1.0892,1.5175,-1.8388,13.326,0.607,4.9436,0.72213,-3.9536
53.831,-1.0752,1.2185,-1.8278,13.386,0.54932,0.56873,-0.49556,-3.1081
54.411,-1.0583,1.3408,-1.8176,13.431,0.56679,4.3767,2.3225,-4.1171
54.706,-1.0476,0.91129,-1.8086,13.479,0.5265,0.51724,-0.41144,-4.0909
55.277,-1.0334,1.0289,-1.8008,13.516,0.42353,-2.723,0.37957,-4.6255
55.904,-1.0167,1.2825,-1.7916,13.525,0.36792,1.4013,1.3251,-4.5153
56.34,-1.0029,1.1553,-1.7818,13.518,0.38851,3.5506,0.91212,-3.0604
56.728,-0.99138,0.92184,-1.7735,13.517,0.57271,-2.5321,2.1683,-3.2779
57.24,-0.97847,0.96932,-1.7659,13.566,0.5711,3.4688,0.93729,-5.9467
57.623,-0.96855,0.74325,-1.7591,13.615,0.51313,3.1183,0.80226,-3.0861
58.026,-0.96001,0.54901,-1.7539,13.647,0.37436,-4.1377,1.5685,-4.4227
58.617,-0.94806,0.76862,-1.7486,13.641,0.51331,-4.4317,-0.19641,-5.3212
59.311,-0.93175,1.1919,-1.7408,13.673,0.38955,4.6698,0.95607,-5.0883
59.643,-0.92144,0.87513,-1.7325,13.671,0.48372,4.407,-0.53471,-3.6178
60.066,-0.91139,0.72895,-1.7261,13.695,0.60999,-1.7537,1.5545,-3.008
60.57,-0.90032,0.78007,-1.7201,13.753,0.36477,3.418,2.2376,-6.2942
60.865,-0.89418,0.41554,-1.7153,13.743,0.43918,3.8256,0.49775,-5.8909
61.245,-0.88887,0.20509,-1.7128,13.754,0.57939,-3.9606,-0.31834,-6.3937
61.92,-0.87761,0.60806,-1.7096,13.804,0.54507,-0.077204,-0.48638,-5.532
62.476,-0.86627,0.76106,-1.7041,13.843,0.54036,1.1809,1.5515,-3.5331
62.876,-0.8577,0.61036,-1.6986,13.881,0.36991,-3.9032,1.2412,-4.1906
63.454,-0.84569,0.83723,-1.6928,13.872,0.46647,1.3976,0.888,-4.2256
63.878,-0.83591,0.74011,-1.6865,13.89,0.51097,3.9126,1.9039,-4.5238
64.163,-0.83047,0.36694,-1.6821,13.919,0.39938,-1.9835,0.14031,-4.7014
64.736,-0.82062,0.57817,-1.6783,13.918,0.37932,2.6369,-0.20522,-4.5972
65.177,-0.81256,0.51066,-1.6739,13.911,0.50387,2.5664,2.2963,-2.9032
65.48,-0.80851,0.18294,-1.6712,13.938,0.41839,3.2957,0.56498,-3.0658
65.858,-0.80525,-0.012127,-1.6705,13.942,0.60743,1.6754,1.0117,-3.8893
66.263,-0.80282,-0.14188,-1.6711,13.998,0.51899,-3.176,2.2606,-4.1567
66.755,-0.79911,-0.072747,-1.6719,14.028,0.40624,-0.59871,1.2765,-4.9814
67.218,-0.79567,-0.074307,-1.6725,14.028,0.40388,-3.0582,0.19334,-3.9014
67.82,-0.7887,0.20093,-1.672,14.027,0.50984,-1.5338,1.8129,-4.7254
68.28,-0.78314,0.20389,-1.6704,14.055,0.38167,3.5183,0.96184,-6.2057
68.625,-0.78062,-0.043707,-1.6698,14.048,0.47706,4.987,2.1958,-2.7868
68.856,-0.78302,-0.52568,-1.672,14.067,0.48944,2.7764,1.263,-3.3338
69.214,-0.78604,-0.75724,-1.6772,14.089,0.49763,4.3687,2.2131,-6.1645
69.471,-0.7935,-1.1884,-1.685,14.113,0.47123,1.8064,-0.16092,-3.5796
69.948,-0.79887,-1.2012,-1.6945,14.13,0.455,-3.1765,1.1005,-4.4121
70.517,-0.80189,-1.0062,-1.7033,14.142,0.58578,0.65543,0.53241,-5.4219
70.996,-0.80577,-1.0096,-1.7114,14.19,0.52363,0.9289,1.0675,-4.2249
71.439,-0.81063,-1.0894,-1.7198,14.221,0.53457,2.4336,0.91803,-3.6682
71.846,-0.81712,-1.2558,-1.7292,14.254,0.53575,-4.9884,2.1871,-5.5059
72.423,-0.82046,-1.0471,-1.7384,14.288,0.47885,0.33031,1.1409,-6.1137
72.889,-0.82511,-1.0885,-1.7469,14.305,0.42818,-4.3513,-0.079277,-3.098
73.577,-0.82445,-0.69147,-1.7541,14.309,0.43903,-1.9206,1.7075,-3.0743
74.087,-0.8252,-0.64721,-1.7594,14.315,0.56361,1.8737,2.018,-5.6135
74.458,-0.82919,-0.88687,-1.7656,14.356,0.57778,-0.63907,0.051259,-3.2032
75.023,-0.83021,-0.75493,-1.7721,14.4,0.56045,-2.8234,0.18147,-6.4289
75.651,-0.82853,-0.48252,-1.7771,14.439,0.44691,1.1917,-0.20225,-6.233
76.17,-0.82755,-0.44356,-1.7808,14.446,0.49614,2.7386,-0.34105,-5.3987
76.649,-0.82736,-0.49681,-1.7845,14.467,0.50594,-0.57107,2.1938,-4.3171
77.094,-0.82837,-0.59256,-1.7889,14.491,0.40322,-2.6983,1.8248,-2.8405
77.631,-0.82783,-0.50844,-1.7933,14.486,0.53157,-3.0711,-0.54212,-3.3525
78.311,-0.82303,-0.15156,-1.7959,14.517,0.4202,-0.75985,-0.011242,-4.1127
78.885,-0.81812,-0.0069419,-1.7966,14.516,0.61147,-2.8818,-0.34389,-4.8885
79.544,-0.80988,0.31644,-1.7953,14.568,0.42763,-3.6971,1.4835,-5.2301
80.125,-0.80101,0.50281,-1.7921,14.569,0.50907,-3.8139,-0.51849,-3.9907
80.817,-0.78786,0.90159,-1.7864,14.593,0.54117,1.7072,0.70442,-6.0009
81.259,-0.77797,0.80034,-1.7796,14.625,0.59308,-1.4524,0.962,-2.8102
81.787,-0.76667,0.8788,-1.7729,14.671,0.41486,-2.3206,2.1186,-6.004
82.274,-0.75571,0.90055,-1.7658,14.668,0.55193,1.7967,2.1021,-3.1491
82.629,-0.74807,0.63827,-1.7596,14.703,0.43496,-4.1363,-0.58938,-4.5251
83.322,-0.73384,1.0615,-1.7528,14.705,0.5056,1.9057,-0.31304,-2.9692
83.8,-0.72181,1.0404,-1.7444,14.727,0.54701,2.4973,0.4171,-2.8524
84.216,-0.71154,0.90186,-1.7367,14.759,0.55908,4.5226,1.7111,-4.1714
84.494,-0.70591,0.49362,-1.7311,14.795,0.58107,-4.009,-0.1714,-5.7054
85.149,-0.69379,0.86349,-1.7256,14.837,0.59741,-4.6949,0.68753,-3.2449
85.774,-0.67946,1.1822,-1.7175,14.882,0.49539,-1.1384,0.041523,-2.7485
86.316,-0.66481,1.3237,-1.7074,14.9,0.55165,4.7715,1.7162,-4.6276
86.571,-0.65639,0.89243,-1.6986,14.932,0.60423,1.122,0.41945,-5.2331
87.014,-0.64657,0.84575,-1.6916,14.979,0.48776,-2.6506,0.90611,-3.6436
87.549,-0.63471,0.99948,-1.6842,14.993,0.42018,-3.2216,1.7743,-6.034
88.049,-0.62246,1.1044,-1.6758,14.989,0.42437,-4.5617,1.3396,-3.9186
88.613,-0.60774,1.3392,-1.666,14.986,0.5321,-3.885,-0.24671,-6.4536
89.238,-0.58962,1.6965,-1.6539,15.013,0.53815,1.4103,0.5689,-3.1938
89.641,-0.57439,1.6001,-1.6407,15.041,0.50513,-3.3113,0.23138,-2.7802
90.21,-0.5556,1.8565,-1.6269,15.06,0.46716,2.4696,-0.24982,-5.2633
90.613,-0.53907,1.7741,-1.6124,15.068,0.58797,4.3384,-0.54656,-4.1927
90.969,-0.52445,1.5927,-1.5989,15.109,0.47368,2.8301,-0.28325,-3.7043
91.355,-0.51046,1.4841,-1.5866,15.119,0.54919,-3.6561,2.0298,-5.4559
91.816,-0.49522,1.576,-1.5743,15.149,0.61222,-2.7134,1.1793,-5.1243
92.289,-0.47897,1.6901,-1.5613,15.196,0.47801,1.4194,0.0031139,-5.3132
92.69,-0.46373,1.6455,-1.5479,15.206,0.48817,3.7047,-0.1654,-3.5373
93.023,-0.45063,1.4588,-1.5355,15.219,0.57034,3.6237,2.1167,-4.4977
93.228,-0.44219,1.0411,-1.5255,15.254,0.43423,-4.544,1.373,-5.553
93.736,-0.42923,1.2569,-1.5163,15.252,0.50882,-1.1261,0.64045,-3.7593
94.17,-0.4165,1.3118,-1.506,15.27,0.48712,2.3982,1.4643,-5.5409
94.442,-0.4075,1.0445,-1.4966,15.282,0.58859,-2.9547,1.0695,-5.8604
94.905,-0.39565,1.1815,-1.4877,15.321,0.49037,4.3406,1.5961,-4.2885
95.101,-0.38963,0.76487,-1.4799,15.334,0.53997,4.578,1.5042,-5.2195
95.295,-0.38699,0.34499,-1.4755,15.36,0.43739,1.1172,2.1257,-3.9913
95.568,-0.38564,0.093493,-1.4737,15.357,0.48646,3.0541,-0.08276,-6.4661
95.901,-0.38481,-0.052524,-1.4736,15.368,0.447,-0.11579,2.0436,-5.9698
