#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
9372.4,-0.61084,0.38829,-4.4923,12.827,0.49518,0.09704,1.0361,-5.0025
9372.5,-0.61084,0.36259,-4.4893,12.86,0.42075,0.024417,0.95927,-5.0521
9372.7,-0.61088,0.35003,-4.4865,12.873,0.5179,0.10715,1.076,-5.154
9372.9,-0.61124,0.31998,-4.4838,12.913,0.40311,-0.02122,0.97967,-5.4563
9373.1,-0.6116,0.30946,-4.4813,12.921,0.41057,-0.025374,1.0029,-5.6093
9373.2,-0.61206,0.2972,-4.4788,12.93,0.37765,-0.054997,0.96551,-5.5966
9373.4,-0.61254,0.29093,-4.4765,12.931,0.50709,0.067803,1.104,-5.5588
9373.6,-0.61337,0.2619,-4.4743,12.967,0.43836,-0.0011041,1.0355,-5.63
9373.7,-0.61426,0.24504,-4.4722,12.984,0.53424,0.088279,1.1402,-5.6238
9373.9,-0.6155,0.21136,-4.4704,13.027,0.41315,0.060946,0.89172,-4.4503
9374.1,-0.61663,0.20327,-4.4688,13.037,0.28633,-0.052788,0.7471,-4.3963
9374.2,-0.61751,0.218,-4.4671,13.011,0.38656,0.0037613,0.90668,-4.8993
9374.4,-0.61855,0.21333,-4.4654,13.014,0.35383,-0.040052,0.88902,-5.0851
9374.6,-0.61955,0.21398,-4.4636,13.007,0.40566,0.064116,0.86972,-4.3105
9374.8,-0.62061,0.20807,-4.462,13.015,0.31728,-0.045002,0.80953,-4.6853
9374.9,-0.62153,0.21675,-4.4603,12.998,0.25271,-0.041018,0.65182,-3.8033
9375.1,-0.62216,0.23981,-4.4584,12.964,0.53464,0.095974,1.1307,-5.5227
9375.3,-0.62338,0.20721,-4.4566,13.007,0.33062,0.017076,0.75664,-3.9989
9375.5,-0.62426,0.21605,-4.4549,12.994,0.39473,0.059146,0.8507,-4.2392
9375.6,-0.62524,0.21278,-4.4532,12.999,0.46022,0.017072,1.0624,-5.6591
9375.8,-0.62649,0.19336,-4.4516,13.022,0.35381,0.040723,0.77921,-3.9694
9376,-0.62752,0.19855,-4.45,13.015,0.31788,0.017596,0.72589,-3.8286
9376.1,-0.6284,0.21066,-4.4484,12.998,0.55009,0.11461,1.1418,-5.4632
9376.3,-0.62984,0.17628,-4.4469,13.046,0.34007,-0.051062,0.87151,-5.0609
9376.5,-0.63103,0.18075,-4.4454,13.035,0.35524,-0.016611,0.86049,-4.7795
9376.6,-0.63219,0.18356,-4.444,13.029,0.34898,0.063658,0.73665,-3.5908
9376.8,-0.63322,0.19147,-4.4425,13.021,0.30164,-0.017415,0.73516,-4.1041
9377,-0.6341,0.20616,-4.4409,13,0.39084,0.069839,0.82701,-4.0418
9377.2,-0.63507,0.20526,-4.4392,13.003,0.43471,-0.0074969,1.0356,-5.6715
9377.3,-0.63626,0.19135,-4.4376,13.019,0.47483,0.081948,1.0087,-4.9503
9377.5,-0.63759,0.17286,-4.4362,13.045,0.269,-0.095132,0.76375,-4.7591
9377.7,-0.63857,0.19172,-4.4347,13.015,0.44295,0.013508,1.0265,-5.487
9377.8,-0.63984,0.17737,-4.4333,13.033,0.25305,-0.044516,0.65737,-3.8559
9378,-0.64067,0.20222,-4.4317,12.999,0.32653,-0.019114,0.79617,-4.4463
9378.2,-0.6415,0.21208,-4.4301,12.985,0.4376,0.030519,0.99073,-5.1837
9378.3,-0.64257,0.19987,-4.4284,13.001,0.33988,-0.014275,0.82108,-4.5504
9378.5,-0.64345,0.20722,-4.4268,12.991,0.38555,0.054775,0.835,-4.182
9378.7,-0.64434,0.20774,-4.4251,12.993,0.42508,0.0080752,0.99169,-5.3332
9378.8,-0.6454,0.19756,-4.4235,13.006,0.35405,0.031879,0.79181,-4.0947
9379,-0.64628,0.20419,-4.4219,13,0.43883,0.08403,0.92092,-4.4605
9379.2,-0.64732,0.19465,-4.4203,13.017,0.35387,0.059027,0.75449,-3.7175
9379.3,-0.64818,0.20275,-4.4187,13.01,0.37984,0.059912,0.81454,-4.0379
9379.5,-0.64906,0.20524,-4.4171,13.011,0.32563,0.021643,0.73867,-3.872
9379.7,-0.64977,0.21797,-4.4154,12.996,0.45883,0.040051,1.0278,-5.3239
9379.8,-0.65079,0.20235,-4.4137,13.019,0.34694,-0.052808,0.8901,-5.173
9380,-0.65166,0.20723,-4.4121,13.01,0.34103,0.026667,0.76818,-3.9999
